time,small_angle_theta,small_angle_omega ,,,big_angle_theta,big_angle_omega 
1,0.141450813,-0.220296589,,,0.424352439,-0.660889766
2,-0.108946987,-0.23805351,,,-0.326840961,-0.714160529
3,-0.25917943,-0.036945132,,,-0.777538289,-0.110835395
4,-0.1711235,0.19813043,,,-0.513370499,0.59439129
5,0.074262586,0.251045788,,,0.222787759,0.753137364
6,0.251371993,0.073150806,,,0.75411598,0.219452419
7,0.197371149,-0.171998689,,,0.592113446,-0.515996068
8,-0.03809182,-0.259013383,,,-0.114275459,-0.77704015
9,-0.238533345,-0.107892367,,,-0.715600034,-0.323677101
10,-0.219668413,0.142424394,,,-0.659005238,0.427273181
11,0.001158645,0.261796824,,,0.003475935,0.785390472
12,0.22092045,0.140474461,,,0.662761349,0.421423384
13,0.237569012,-0.109999473,,,0.712707036,-0.329998419
14,0.03579772,-0.259340399,,,0.10739316,-0.778021198
15,-0.198885831,-0.170244958,,,-0.596657492,-0.510734875
16,-0.250714666,0.075372912,,,-0.752143997,0.226118736
17,-0.072037593,0.251693275,,,-0.21611278,0.755079824
18,0.17287051,0.196608001,,,0.51861153,0.589824004
19,0.258842264,-0.039237762,,,0.776526791,-0.117713285
20,0.106835634,-0.239008508,,,0.320506902,-0.717025523
21,-0.143395185,-0.219035934,,,-0.430185555,-0.657107802
22,-0.261789132,0.002317267,,,-0.785367397,0.006951802
23,-0.139495359,0.221539984,,,-0.418486076,0.664619951
24,0.111049804,0.237079861,,,0.333149413,0.711239582
